  -0.02 A-V:-1340884514.485 fd=   0 aq=  119KB vq=    1KB sq=    0B f=0/0   
   0.01 A-V:-1340884514.485 fd=   0 aq= 1692KB vq=    1KB sq=    0B f=0/0   
   0.04 A-V:-1340884514.485 fd=   0 aq= 2315KB vq=    1KB sq=    0B f=0/0   
   0.07 A-V:-1340884514.485 fd=   0 aq= 2315KB vq=    1KB sq=    0B f=0/0   
   0.10 A-V:-1340884514.485 fd=   0 aq= 2315KB vq=    1KB sq=    0B f=0/0   
   0.13 A-V:-1340884514.485 fd=   0 aq= 2315KB vq=    1KB sq=    0B f=0/0   
   0.16 A-V:-1340884514.485 fd=   0 aq= 2315KB vq=    1KB sq=    0B f=0/0   
   0.47 A-V:  0.465 fd=   0 aq= 2315KB vq=    0KB sq=    0B f=0/0   
   0.50 A-V:  0.465 fd=   0 aq= 2315KB vq=    0KB sq=    0B f=0/0   
   0.53 A-V:  0.465 fd=   0 aq= 2315KB vq=    0KB sq=    0B f=0/0   
   0.56 A-V:  0.465 fd=   0 aq= 2315KB vq=    0KB sq=    0B f=0/0   
   0.59 A-V:  0.465 fd=   0 aq= 2315KB vq=    0KB sq=    0B f=0/0   
   0.63 A-V:  0.465 fd=   0 aq= 2315KB vq=    0KB sq=    0B f=0/0   
   0.66 A-V:  0.465 fd=   0 aq= 2315KB vq=    0KB sq=    0B f=0/0   
   0.69 A-V:  0.465 fd=   0 aq= 2315KB vq=    0KB sq=    0B f=0/0   
   0.02 A-V: -0.234 fd=   0 aq= 2315KB vq=    0KB sq=    0B f=0/0   
   0.05 A-V: -0.232 fd=   0 aq= 2314KB vq=    0KB sq=    0B f=0/0   
   0.08 A-V: -0.231 fd=   0 aq= 2313KB vq=    0KB sq=    0B f=0/0   
   0.11 A-V: -0.229 fd=   0 aq= 2312KB vq=    0KB sq=    0B f=0/0   
   0.15 A-V: -0.228 fd=   0 aq= 2312KB vq=    0KB sq=    0B f=0/0   
   0.17 A-V: -0.238 fd=   0 aq= 2312KB vq=    0KB sq=    0B f=0/0   
   0.20 A-V: -0.235 fd=   0 aq= 2311KB vq=    0KB sq=    0B f=0/0   
   0.23 A-V: -0.234 fd=   0 aq= 2310KB vq=    0KB sq=    0B f=0/0   
   0.26 A-V: -0.232 fd=   0 aq= 2310KB vq=    0KB sq=    0B f=0/0   
   0.29 A-V: -0.232 fd=   0 aq= 2309KB vq=    0KB sq=    0B f=0/0   
   0.32 A-V: -0.230 fd=   0 aq= 2309KB vq=    0KB sq=    0B f=0/0   
   0.34 A-V: -0.239 fd=   0 aq= 2308KB vq=    0KB sq=    0B f=0/0   
   0.38 A-V: -0.237 fd=   0 aq= 2308KB vq=    0KB sq=    0B f=0/0   
   0.41 A-V: -0.236 fd=   0 aq= 2307KB vq=    0KB sq=    0B f=0/0   
   0.44 A-V: -0.234 fd=   0 aq= 2306KB vq=    0KB sq=    0B f=0/0   
   0.47 A-V: -0.233 fd=   0 aq= 2306KB vq=    0KB sq=    0B f=0/0   
   0.49 A-V: -0.241 fd=   0 aq= 2305KB vq=    0KB sq=    0B f=0/0   
   0.52 A-V: -0.241 fd=   0 aq= 2305KB vq=    0KB sq=    0B f=0/0   
   0.55 A-V: -0.240 fd=   0 aq= 2305KB vq=    0KB sq=    0B f=0/0   
   0.59 A-V: -0.237 fd=   0 aq= 2304KB vq=    0KB sq=    0B f=0/0   
